longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
-73.86451,1.0,1.0,48.0,103.0,0.0,2.0,75.0
-73.96451,5.0,1.0,67.0,12.0,1.0,16.32,60.0
-73.95798,2.0,1.0,0.0,24.0,1.0,4.17,129.0
-73.9767,3.0,1.0,128.0,8.0,1.0,36.46,130.0
-73.99935,30.0,2.0,0.0,14.0,1.0,0.0,
-73.94332,4.0,2.0,156.0,2.0,0.0,27.75,75.0
-74.00498,29.0,327.0,361.0,43.0,1.0,2.0,175.0
-73.94935,5.0,2.0,118.0,28.0,0.0,9.29,190.0
-73.90568,3.0,2.0,321.0,44.0,0.0,47.93,49.0
-74.00206,4.0,1.0,0.0,52.0,1.0,6.24,212.0
-73.99731,5.0,2.0,42.0,53.0,0.0,3.17,95.0
-74.00416,3.0,1.0,0.0,11.0,1.0,0.0,140.0
-73.9928,1.0,1.0,0.0,7.0,1.0,3.09,135.0
-73.92744,1.0,1.0,365.0,18.0,0.0,28.36,150.0
-73.9972,3.0,1.0,14.0,36.0,1.0,11.59,190.0
-73.98727,29.0,327.0,332.0,71.0,1.0,0.0,124.0
-73.93118,3.0,1.0,267.0,6.0,1.0,91.91,135.0
-73.9125,1.0,1.0,157.0,39.0,2.0,32.78,122.0
-73.94055,4.0,1.0,0.0,25.0,1.0,2.19,109.0
-73.92705,3.0,1.0,171.0,30.0,0.0,3.09,85.0
-73.84846,5.0,2.0,0.0,129.0,1.0,4.44,145.0
-73.89201,1.0,3.0,67.0,84.0,0.0,18.64,195.0
-73.96043,1.0,1.0,0.0,28.0,0.0,1.03,250.0
-73.95807,2.0,1.0,257.0,20.0,1.0,59.71,125.0
-73.99253,1.0,1.0,194.0,7.0,0.0,66.41,
-74.00403,1.0,4.0,327.0,79.0,0.0,25.63,150.0
-73.92477,1.0,3.0,146.0,21.0,0.0,18.32,70.0
-74.00532,29.0,327.0,361.0,43.0,1.0,0.0,90.0
-73.92535,4.0,1.0,100.0,21.0,1.0,122.09,
-73.94893,2.0,1.0,77.0,12.0,1.0,88.46,500.0
-73.94242,30.0,7.0,0.0,6.0,1.0,12.63,
-73.96102,5.0,1.0,325.0,24.0,1.0,0.0,125.0
-73.92351,2.0,3.0,33.0,21.0,0.0,92.57,
-73.94663,8.0,1.0,0.0,2.0,0.0,1.02,229.0
-73.92898,2.0,3.0,329.0,35.0,0.0,17.2,90.0
-73.99955,2.0,1.0,146.0,52.0,1.0,2.0,110.0
-73.78954,2.0,1.0,162.0,120.0,1.0,114.6,59.0
-73.9551,2.0,2.0,259.0,28.0,0.0,78.1,195.0
-73.92894,4.0,1.0,0.0,6.0,1.0,3.16,169.0
-74.00064,2.0,9.0,361.0,27.0,1.0,4.13,113.0
-73.95298,3.0,2.0,0.0,6.0,0.0,2.11,250.0
-73.98286,30.0,1.0,363.0,1.0,0.0,0.0,115.0
-73.95424,3.0,1.0,0.0,12.0,1.0,0.0,55.0
-73.95534,1.0,2.0,208.0,12.0,1.0,203.37,69.0
-73.98838,1.0,1.0,0.0,23.0,1.0,2.08,
-73.92463,1.0,2.0,365.0,80.0,0.0,0.0,
-73.94414,2.0,2.0,60.0,20.0,0.0,160.2,179.0
-73.99521,2.0,1.0,0.0,7.0,1.0,3.36,
-73.92293,1.0,2.0,331.0,56.0,0.0,44.28,135.0
-73.95132,4.0,1.0,16.0,54.0,0.0,0.0,350.0
-73.95677,3.0,1.0,0.0,6.0,0.0,0.0,120.0
-74.02942,5.0,3.0,312.0,75.0,1.0,5.9,71.0
-73.99929,2.0,1.0,0.0,11.0,1.0,3.34,349.0
-73.96746,5.0,2.0,156.0,8.0,1.0,110.63,349.0
-73.95036,1.0,33.0,180.0,20.0,0.0,0.0,165.0
-73.99093,21.0,3.0,70.0,50.0,0.0,1.79,249.0
-73.95117,4.0,1.0,15.0,28.0,0.0,2.0,100.0
-73.91492,3.0,1.0,63.0,21.0,0.0,30.3,
-73.81546,30.0,1.0,348.0,46.0,1.0,0.0,169.0
-73.98447,3.0,2.0,26.0,1.0,0.0,1.16,185.0
-73.991,1.0,1.0,0.0,14.0,0.0,2.04,65.0
-73.92832,2.0,1.0,144.0,56.0,0.0,35.42,130.0
-73.95458,1.0,3.0,330.0,117.0,0.0,0.0,199.0
-74.01206,7.0,1.0,0.0,79.0,0.0,0.0,225.0
-73.988,2.0,1.0,0.0,10.0,1.0,4.19,179.0
-73.9761,30.0,1.0,156.0,16.0,1.0,0.0,150.0
-73.92375,2.0,1.0,89.0,21.0,0.0,11.24,139.0
-73.92361,5.0,1.0,0.0,39.0,1.0,4.09,95.0
-73.9571,1.0,1.0,0.0,6.0,0.0,2.05,79.0
-73.94031,2.0,1.0,0.0,6.0,1.0,40.04,
-73.97999,2.0,2.0,1.0,19.0,0.0,4.1,650.0
-73.97562,30.0,50.0,365.0,5.0,1.0,1.09,90.0
-73.94375,5.0,1.0,267.0,2.0,1.0,43.07,120.0
-73.9857,7.0,1.0,0.0,68.0,1.0,0.0,80.0
-74.08027,4.0,6.0,178.0,41.0,0.0,63.81,
-73.92563,4.0,2.0,81.0,18.0,0.0,1.24,175.0
-73.77832,1.0,6.0,177.0,46.0,0.0,146.87,120.0
-73.93159,1.0,1.0,0.0,56.0,0.0,0.0,140.0
-73.94396,1.0,4.0,0.0,6.0,0.0,91.01,200.0
-73.99381,2.0,1.0,9.0,7.0,1.0,80.63,
-73.95779,2.0,3.0,46.0,2.0,0.0,2.0,125.0
-73.97737,2.0,1.0,0.0,8.0,0.0,3.1,130.0
-73.94214,2.0,9.0,9.0,4.0,2.0,38.23,65.0
-73.9329,30.0,15.0,342.0,4.0,1.0,12.25,
-74.00736,1.0,2.0,89.0,79.0,0.0,13.45,67.0
-73.99362,1.0,3.0,336.0,34.0,0.0,140.87,
-73.9882,7.0,2.0,9.0,19.0,1.0,12.88,130.0
-74.00943,1.0,1.0,0.0,43.0,2.0,0.0,100.0
-73.95096,2.0,1.0,0.0,6.0,1.0,20.67,
-73.97925,2.0,1.0,163.0,16.0,0.0,165.13,190.0
-73.97839,5.0,1.0,0.0,26.0,0.0,0.0,599.0
-73.91196,1.0,1.0,71.0,49.0,1.0,243.62,249.0
-73.98816,5.0,1.0,282.0,68.0,1.0,14.93,
-73.95019,3.0,1.0,338.0,2.0,1.0,196.42,100.0
-73.99869,2.0,1.0,0.0,27.0,1.0,3.14,60.0
-73.95479,2.0,1.0,0.0,6.0,1.0,16.59,135.0
-73.96234,1.0,2.0,303.0,24.0,0.0,46.62,175.0
-73.94218,30.0,1.0,242.0,2.0,1.0,0.0,120.0
-73.94888,4.0,1.0,96.0,15.0,1.0,6.26,169.0
-74.00529,1.0,2.0,0.0,11.0,0.0,33.04,165.0
-73.99413,2.0,1.0,0.0,52.0,0.0,0.0,90.0
-73.90716,3.0,2.0,304.0,44.0,0.0,45.88,225.0
-73.9892,1.0,1.0,0.0,19.0,1.0,0.0,95.0
-73.95505,2.0,2.0,161.0,12.0,0.0,35.38,
-73.91303,4.0,2.0,307.0,21.0,0.0,17.66,85.0
-73.95439,15.0,1.0,15.0,24.0,0.0,14.49,199.0
-73.92092,1.0,1.0,83.0,21.0,0.0,0.0,211.0
-73.95939,1.0,3.0,24.0,12.0,0.0,151.1,145.0
-74.00429,1.0,1.0,0.0,77.0,0.0,0.0,65.0
-73.99968,6.0,1.0,0.0,33.0,1.0,2.03,99.0
-74.0325,3.0,1.0,348.0,90.0,1.0,26.57,
-73.97849,3.0,1.0,47.0,16.0,1.0,12.55,80.0
-73.94943,30.0,1.0,325.0,28.0,1.0,0.0,
-73.98946,1.0,1.0,0.0,7.0,0.0,3.21,110.0
-74.00213,5.0,1.0,0.0,27.0,1.0,8.19,290.0
-73.95928,3.0,1.0,15.0,15.0,1.0,21.56,
-73.94867,2.0,1.0,246.0,12.0,0.0,52.35,190.0
-73.98572,5.0,3.0,333.0,38.0,1.0,34.5,200.0
-73.9605,2.0,1.0,0.0,3.0,0.0,5.22,165.0
-73.9407,1.0,3.0,278.0,2.0,0.0,0.0,110.0
-73.99444,2.0,1.0,326.0,32.0,1.0,8.120000000000001,395.0
-73.9349,2.0,2.0,9.0,6.0,1.0,91.32,99.0
-73.93017,2.0,1.0,0.0,21.0,0.0,2.08,39.0
-73.99458,1.0,1.0,189.0,7.0,1.0,24.0,189.0
-73.96407,5.0,1.0,9.0,12.0,1.0,2.24,
-73.98749,6.0,1.0,137.0,7.0,1.0,80.12,260.0
-73.92534,1.0,2.0,147.0,6.0,0.0,2.0,122.0
-73.9632,30.0,1.0,268.0,22.0,1.0,2.15,165.0
-73.95829,2.0,1.0,0.0,12.0,0.0,8.34,97.0
-73.94464,4.0,1.0,55.0,12.0,0.0,7.98,
-73.97021,2.0,1.0,11.0,1.0,1.0,2.21,
-73.94399,2.0,2.0,44.0,24.0,0.0,20.17,130.0
-73.83457,1.0,1.0,364.0,95.0,0.0,0.0,225.0
-73.94942,2.0,2.0,0.0,2.0,0.0,73.24,50.0
-73.93293,2.0,1.0,0.0,15.0,0.0,1.02,170.0
